source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,Dell,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 11,108000
ds01,Dell,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,8,DDR4,1024,HDD,Windows 11,50990
ds01,Lenovo,11th Gen Intel Core i5 11300H,4GB NVIDIA GeForce RTX 3050 Graphics,8,DDR4,512,SSD,Windows 11,47990
ds01,HP,6th Gen AMD Ryzen 7  6800H,8GB AMD Radeon RX 6650M,16,DDR5,512,SSD,Windows 11,91990
ds01,Acer,3rd Gen AMD Ryzen 3  3250U,AMD Radeon Graphics,8,DDR4,256,SSD,Windows 11,25449
ds01,Acer,12th Gen Intel Core i3 1215U,Intel Graphics ,8,DDR4,512,SSD,Windows 11,33207
ds01,HP,12th Gen Intel Core i5 1235U,Intel Iris Xe,8,DDR4,512,SSD,Windows 11,52990
ds01,Dell,5th Gen AMD Ryzen 5 5625U,AMD Radeon Graphics,8,DDR4,512,SSD,Windows 11,42434
ds01,HP,11th Gen Intel Core i3 1115G4,Intel Integrated UHD,8,DDR4,1024,HDD,Windows 11,42200
ds01,HP,5th Gen AMD Ryzen 5  5500U ,AMD Radeon Graphics,16,DDR4,512,SSD,Windows 11,41990
ds01,Asus,6th Gen AMD Ryzen 7 6800H ,4GB NVIDIA GeForce RTX 3050 Ti,16,DDR5,512,SSD,Windows 11,80900
ds01,Asus,11th Gen Intel Core i3 1115G4,Intel Integrated UHD Graphics,8,DDR4,512,SSD,Windows 11,38990
ds01,Apple,Apple M2 Apple M2 Chip,10-Core GPU,8,UNIFIED,512,SSD,macOS,135990
ds01,Asus,12th Gen Intel Core i5 12500H,Intel Iris XE Graphics,16,DDR4,512,SSD,Windows 11,72490
ds01,Asus,12th Gen Intel Core i5 12500H,Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,72490
ds01,Dell,11th Gen Intel Core i3 1115G4,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,35990
ds01,Xiaomi,11th Gen Intel Core i5 11300H ,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 10,45989
ds01,Dell,11th Gen Intel Core i5 1135G7 ,Intel Iris Xe Graphics,8,DDR4,1024,HDD,Windows 10,52500
ds01,Dell,10th Gen Intel Core i5 10210U ,Intel HD,8,DDR4,512,SSD,Linux,59999
ds01,Apple,Apple M1 Apple M1 Chip,Apple M1 Integrated Graphics,8,DDR4,512,SSD,macOS,112990
ds01,Avita,3rd Gen AMD Ryzen 5  3500U,AMD Radeon Vega 8,8,DDR4,512,SSD,Windows 10,21990
ds01,Apple,9th Gen Intel Core i9,4GB Radeon Pro 5500M,32,DDR4,2048,SSD,macOS,201498
